run_id,experiment_id,phase,architecture,energy_kwh,co2_kg,elapsed_seconds,value_precision
legacy-5314639f3785aef19a5d,08_ldm_v3_sdvae_fromscratch,filtering,,0.0032699749461032887,0.0010814395742253875,72.64621075499963,measured
legacy-833712b3add4292eedf5,08_ldm_v3_sdvae_fromscratch,filtering,,0.006142320579709793,0.0020313759774804635,171.67146612800207,measured
legacy-2f9053610aed67a559e8,08_ldm_v3_sdvae_fromscratch,filtering,,0.07089990081795175,0.023447873398711367,1356.1466754190005,measured
legacy-5f62e152f6ecdb804ef2,08_ldm_v3_sdvae_fromscratch,filtering,,0.001088212993111617,0.0003598916246558878,87.7413428309992,measured
legacy-c96ec884517d69c94677,08_ldm_v3_sdvae_fromscratch,filtering,,0.00081741218965124,0.0002703329245370788,58.38465942100083,measured
legacy-1d5093395ce1e81c1622,08_ldm_v3_sdvae_fromscratch,generation,,0.07868399745870255,0.026022214271547193,6107.423306520002,measured
legacy-9c7e75506eab8231706a,08_ldm_v3_sdvae_fromscratch,generation,,0.05344680224330434,0.017675819544301124,4301.732863153,measured
legacy-950cb5ce4c402b0a448a,08_ldm_v3_sdvae_fromscratch,filtering,,0.0025923770293528694,0.0008573457463935223,169.64523539400034,measured
legacy-330afa80122b54b062bb,08_ldm_v3_sdvae_fromscratch,filtering,,0.0008775377046647371,0.00029021751461131255,61.8603234000002,measured
legacy-b019c71f91d5c2c5a92e,08_ldm_v3_sdvae_fromscratch,filtering,,2.0226792259717536e-05,6.689364282549264e-06,0.08684454900003402,measured
legacy-a6dd7caaebc1bba74aa4,08_ldm_v3_sdvae_fromscratch,filtering,,2.023060112133232e-05,6.690623941644783e-06,0.08934949399963443,measured
legacy-63ada2f2660a1bcbb6cf,08_ldm_v3_sdvae_fromscratch,generator_training,,0.3063300528458747,0.101308862417082,24801.037223117,measured
legacy-ca3a0b8301f437098e6d,08_ldm_v3_sdvae_fromscratch_sampling_st100_08011d0b6145,validation,,0.0001246514755952523,4.122448670591065e-05,5.736975147000521,measured
legacy-fb4986295fe46dc4d135,08_ldm_v3_sdvae_fromscratch_sampling_st100_08011d0b6145,validation,,2.022009921271696e-05,6.687150771431328e-06,0.14247458800036839,measured
legacy-7762f391fd54be91de51,08_ldm_v3_sdvae_fromscratch_sampling_st100_08011d0b6145,validation,,2.0218779961096612e-05,6.68671447117395e-06,0.47080034900045575,measured
legacy-3df61d0b77f90e91820f,08_ldm_v3_sdvae_fromscratch_sampling_st25_2058ec8ae46d,validation,,0.000124697282402681,4.1239635841649856e-05,6.6007661510002436,measured
