path,experiment_id,architecture,dataset_variant,stage,regime,generator,training_policy,seeds,dataset_status,checkpoint_legacy_available,training_required,validation_available,test_allowed,compile_status,dry_run_status,generator_ownership,note_blocker
notebooks/3_classifiers_matrix/maxvit512/MV_RSP_CONTROLLED_06_ldm_extra1361_fromscratch.ipynb,maxvit512__RSP_CONTROLLED_06_ldm_extra1361_fromscratch,maxvit512,RSP_CONTROLLED_06_ldm_extra1361_fromscratch,1,controlled,06_ldm_extra1361_fromscratch,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_CONTROLLED_07_ldm_sdvae_extra1361.ipynb,maxvit512__RSB_CONTROLLED_07_ldm_sdvae_extra1361,maxvit512,RSB_CONTROLLED_07_ldm_sdvae_extra1361,1,controlled,07_ldm_sdvae_extra1361,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_FULL_07_ldm_sdvae_extra1361.ipynb,maxvit512__RSB_FULL_07_ldm_sdvae_extra1361,maxvit512,RSB_FULL_07_ldm_sdvae_extra1361,1,full_available,07_ldm_sdvae_extra1361,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSP_CONTROLLED_07_ldm_sdvae_extra1361.ipynb,maxvit512__RSP_CONTROLLED_07_ldm_sdvae_extra1361,maxvit512,RSP_CONTROLLED_07_ldm_sdvae_extra1361,1,controlled,07_ldm_sdvae_extra1361,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_CONTROLLED_08_ldm_v3_sdvae_fromscratch.ipynb,maxvit512__RSB_CONTROLLED_08_ldm_v3_sdvae_fromscratch,maxvit512,RSB_CONTROLLED_08_ldm_v3_sdvae_fromscratch,1,controlled,08_ldm_v3_sdvae_fromscratch,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_FULL_08_ldm_v3_sdvae_fromscratch.ipynb,maxvit512__RSB_FULL_08_ldm_v3_sdvae_fromscratch,maxvit512,RSB_FULL_08_ldm_v3_sdvae_fromscratch,1,full_available,08_ldm_v3_sdvae_fromscratch,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSP_CONTROLLED_08_ldm_v3_sdvae_fromscratch.ipynb,maxvit512__RSP_CONTROLLED_08_ldm_v3_sdvae_fromscratch,maxvit512,RSP_CONTROLLED_08_ldm_v3_sdvae_fromscratch,1,controlled,08_ldm_v3_sdvae_fromscratch,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSP_CONTROLLED_05_ldm_basic_fromscratch.ipynb,maxvit512__RSP_CONTROLLED_05_ldm_basic_fromscratch,maxvit512,RSP_CONTROLLED_05_ldm_basic_fromscratch,1,controlled,05_ldm_basic_fromscratch,maxvit512_standard,"17,42,73",BLOCKED,False,True,False,False,PASS,BLOCKED,scripts/create_classifier_matrix_notebooks.py,"RuntimeError: dataset RSP_CONTROLLED_05_ldm_basic_fromscratch is blocked: runtime dataset resolution failed: variant RSP_CONTROLLED_05_ldm_basic_fromscratch: only 0 synthetic files on disk for 05_ldm_basic_fromscratch/positive (no_candidates_found), need 1361"
notebooks/3_classifiers_matrix/maxvit512/MV_RSP_FULL_05_ldm_basic_fromscratch.ipynb,maxvit512__RSP_FULL_05_ldm_basic_fromscratch,maxvit512,RSP_FULL_05_ldm_basic_fromscratch,1,full_available,05_ldm_basic_fromscratch,maxvit512_standard,"17,42,73",BLOCKED,False,True,False,False,PASS,BLOCKED,scripts/create_classifier_matrix_notebooks.py,"RuntimeError: dataset RSP_FULL_05_ldm_basic_fromscratch is blocked: runtime dataset resolution failed: variant RSP_FULL_05_ldm_basic_fromscratch: only 0 synthetic files on disk for 05_ldm_basic_fromscratch/positive (no_candidates_found), need 1361"
notebooks/3_classifiers_matrix/maxvit512/MV_RS_PARTIAL_G02.ipynb,maxvit512__RS_PARTIAL_G02,maxvit512,RS_PARTIAL_G02,1,not_applicable,02_sd21_filtered_100steps,maxvit512_standard,"17,42,73",READY,True,False,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RS_FULL_G02.ipynb,maxvit512__RS_FULL_G02,maxvit512,RS_FULL_G02,1,not_applicable,02_sd21_filtered_100steps,maxvit512_standard,"17,42,73",READY,True,False,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_SYNTHETIC_ONLY_PARTIAL_G02.ipynb,maxvit512__SYNTHETIC_ONLY_PARTIAL_G02,maxvit512,SYNTHETIC_ONLY_PARTIAL_G02,1,not_applicable,02_sd21_filtered_100steps,maxvit512_standard,"17,42,73",READY,True,False,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_R.ipynb,mammofm__R,mammofm,R,1,not_applicable,,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RA.ipynb,mammofm__RA,mammofm,RA,1,not_applicable,,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSB_CONTROLLED_01_sd21_baseline_50steps.ipynb,mammofm__RSB_CONTROLLED_01_sd21_baseline_50steps,mammofm,RSB_CONTROLLED_01_sd21_baseline_50steps,1,controlled,01_sd21_baseline_50steps,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSB_FULL_01_sd21_baseline_50steps.ipynb,mammofm__RSB_FULL_01_sd21_baseline_50steps,mammofm,RSB_FULL_01_sd21_baseline_50steps,1,full_available,01_sd21_baseline_50steps,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSP_CONTROLLED_01_sd21_baseline_50steps.ipynb,mammofm__RSP_CONTROLLED_01_sd21_baseline_50steps,mammofm,RSP_CONTROLLED_01_sd21_baseline_50steps,1,controlled,01_sd21_baseline_50steps,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSB_CONTROLLED_02_sd21_filtered_100steps.ipynb,mammofm__RSB_CONTROLLED_02_sd21_filtered_100steps,mammofm,RSB_CONTROLLED_02_sd21_filtered_100steps,1,controlled,02_sd21_filtered_100steps,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSB_FULL_02_sd21_filtered_100steps.ipynb,mammofm__RSB_FULL_02_sd21_filtered_100steps,mammofm,RSB_FULL_02_sd21_filtered_100steps,1,full_available,02_sd21_filtered_100steps,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSP_CONTROLLED_02_sd21_filtered_100steps.ipynb,mammofm__RSP_CONTROLLED_02_sd21_filtered_100steps,mammofm,RSP_CONTROLLED_02_sd21_filtered_100steps,1,controlled,02_sd21_filtered_100steps,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSB_CONTROLLED_03_sd21_vae_finetuned.ipynb,mammofm__RSB_CONTROLLED_03_sd21_vae_finetuned,mammofm,RSB_CONTROLLED_03_sd21_vae_finetuned,1,controlled,03_sd21_vae_finetuned,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSB_FULL_03_sd21_vae_finetuned.ipynb,mammofm__RSB_FULL_03_sd21_vae_finetuned,mammofm,RSB_FULL_03_sd21_vae_finetuned,1,full_available,03_sd21_vae_finetuned,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSP_CONTROLLED_03_sd21_vae_finetuned.ipynb,mammofm__RSP_CONTROLLED_03_sd21_vae_finetuned,mammofm,RSP_CONTROLLED_03_sd21_vae_finetuned,1,controlled,03_sd21_vae_finetuned,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/mammofm/MFM_RSB_CONTROLLED_04_sd21_lora.ipynb,mammofm__RSB_CONTROLLED_04_sd21_lora,mammofm,RSB_CONTROLLED_04_sd21_lora,1,controlled,04_sd21_lora,mammofm_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
